month,fixed_spend,conservador_active,conservador_mrr,conservador_gross_profit,conservador_net_burn,base_active,base_mrr,base_gross_profit,base_net_burn,escala_active,escala_mrr,escala_gross_profit,escala_net_burn
1,100000,0,0,0,100000,0,0,0,100000,0,0,0,100000
2,110000,3,1974,1481,108520,5,4985,3739,106261,8,9376,7032,102968
3,120000,6,3948,2961,117039,12,11964,8973,111027,20,23440,17580,102420
4,140000,10,6580,4935,135065,22,21934,16451,123550,40,46880,35160,104840
5,150000,15,9870,7403,142598,35,34895,26171,123829,70,82040,61530,88470
6,160000,21,13818,10364,149637,50,49850,37388,122613,110,128920,96690,63310
7,170000,28,18424,13818,156182,70,69790,52343,117658,160,187520,140640,29360
8,180000,36,23688,17766,162234,95,94715,71036,108964,225,263700,197775,-17775
9,190000,45,29610,22208,167793,125,124625,93469,96531,300,351600,263700,-73700
10,210000,55,36190,27143,182858,160,159520,119640,90360,390,457080,342810,-132810
11,225000,66,43428,32571,192429,200,199400,149550,75450,490,574280,430710,-205710
12,245000,78,51324,38493,206507,245,244265,183199,61801,600,703200,527400,-282400
